gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,cik,costat,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,Mkt cap 31 Dec 2024
5234,12/31/24,2024,INDL,C,D,STD,GT,GOODYEAR TIRE & RUBBER CO,USD,42582,A,251010,25,25101020,326211,3011,130,976,2.56428
120318,12/31/24,2024,INDL,C,D,STD,TOWN,TOWNEBANK,USD,,A,401010,40,40101015,522110,6020,,,2.55971118
196268,12/31/24,2024,INDL,C,D,STD,YELP,YELP INC,USD,1345016,A,502030,50,50203010,519290,7370,,,2.5471566
37407,12/31/24,2024,INDL,C,D,STD,MP,MP MATERIALS CORP,USD,1801368,A,151040,15,15104020,212290,1090,,,2.5460292
142460,12/31/24,2024,INDL,C,D,STD,BTU,PEABODY ENERGY CORP,USD,1064728,A,101020,10,10102050,212114,1220,360,970,2.54421
24501,12/31/24,2024,INDL,C,D,STD,RPD,RAPID7 INC,USD,1560327,A,451030,45,45103020,513210,7372,,,2.54281761
38739,12/31/24,2024,INDL,C,D,STD,FLYW,FLYWIRE CORP,USD,1580560,A,402010,40,40201060,522320,7389,,,2.52685728
22741,12/31/24,2024,INDL,C,D,STD,CC,CHEMOURS CO,USD,1627223,A,151010,15,15101020,325130,2860,,,2.5250459
139804,12/31/24,2024,INDL,C,D,STD,TTMI,TTM TECHNOLOGIES INC,USD,1116942,A,452030,45,45203020,334412,3672,220,925,2.52373275
158587,12/31/24,2024,INDL,C,D,STD,TBBK,BANCORP INC,USD,1295401,A,401010,40,40101015,522110,6020,,,2.52266116
38022,9/30/24,2024,INDL,C,D,STD,SYM,SYMBOTIC INC,USD,1837240,A,201060,20,20106020,333998,3569,,,2.52162963
38467,12/31/24,2024,INDL,C,D,STD,EWTX,EDGEWISE THERA INC,USD,1710072,A,352020,35,35202010,325412,2834,,,2.5207203
50345,12/31/24,2024,INDL,C,D,STD,CON,CONCENTRA GRP HLDS PARNT INC,USD,2014596,A,351020,35,35102020,622,8060,,,2.51886432
23083,9/30/24,2024,INDL,C,D,STD,ENR,ENERGIZER HOLDINGS INC,USD,1632790,A,303010,30,30301010,335910,3690,,,2.51574345
27810,12/31/24,2024,INDL,C,D,STD,LIVN,LIVANOVA PLC,USD,1639691,A,351010,35,35101010,334510,3845,300,905,2.51467931
22047,12/31/24,2024,INDL,C,D,STD,GRBK,GREEN BRICK PARTNERS INC,USD,1373670,A,252010,25,25201030,236117,1531,,,2.51369202
6509,9/30/24,2024,INDL,C,D,STD,KLIC,KULICKE & SOFFA INDUSTRIES,USD,56978,A,453010,45,45301010,333242,3559,247,940,2.51362086
189517,12/31/24,2024,INDL,C,D,STD,ENVA,ENOVA INTERNATIONAL INC,USD,1529864,A,402020,40,40202010,522291,6141,,,2.51263128
66393,6/30/24,2024,INDL,C,D,STD,MRCY,MERCURY SYSTEMS INC,USD,1049521,A,201010,20,20101010,334413,3674,225,940,2.504586
38954,12/31/24,2024,INDL,C,D,STD,YOU,CLEAR SECURE INC,USD,1856314,A,451030,45,45103010,518210,7370,,,2.5045596
8850,12/31/24,2024,INDL,C,D,STD,KWR,QUAKER HOUGHTON,USD,81362,A,151010,15,15101050,324191,2990,167,970,2.503838702
14084,12/31/24,2024,INDL,C,D,STD,AIN,ALBANY INTL CORP  -CL A,USD,819793,A,201060,20,20106020,313210,2221,357,925,2.503061
39128,12/31/24,2024,INDL,C,D,STD,BNT,BROOKFIELD WEALTH SOLUTIONS,USD,1837429,A,403010,40,40301050,524130,6399,,,2.49387248
175966,12/31/24,2024,INDL,C,D,STD,CPRX,CATALYST PHARMACEUTICALS INC,USD,1369568,A,352010,35,35201010,325414,2836,,,2.48922751
150279,12/31/24,2024,INDL,C,D,STD,PFS,PROVIDENT FINANCIAL SVCS INC,USD,1178970,A,401010,40,40101015,522180,6036,840,800,2.46230856
39502,12/31/24,2024,INDL,C,D,STD,WRBY,WARBY PARKER INC,USD,1504776,A,255040,25,25504040,456130,5990,,,2.46123702
43198,12/31/24,2024,INDL,C,D,STD,NATL,NCR ATLEOS CORP,USD,1974138,A,402010,40,40201060,522320,7389,,,2.45879296
18888,12/31/24,2024,INDL,C,D,STD,AMRX,AMNEAL PHARMACEUTICALS INC,USD,1723128,A,352020,35,35202010,325412,2834,,,2.45396448
179577,12/31/24,2024,INDL,C,D,STD,ENOV,ENOVIS CORP,USD,1420800,A,351010,35,35101010,339113,3842,,,2.451795
136648,12/31/24,2024,INDL,C,D,STD,VC,VISTEON CORP,USD,1111335,A,251010,25,25101010,336320,3714,130,976,2.45035768
136265,12/31/24,2024,INDL,C,D,STD,BANC,BANC OF CALIFORNIA INC,USD,1169770,A,401010,40,40101015,522110,6020,817,800,2.4477818
41981,12/31/24,2024,INDL,C,D,STD,AESI,ATLAS ENERGY SOLUTIONS INC,USD,1984060,A,101010,10,10101020,213112,1389,,,2.44461306
174236,12/31/24,2024,INDL,C,D,STD,SEM,SELECT MEDICAL HOLDINGS CORP,USD,1320414,A,351020,35,35102020,622310,8060,,,2.44045295
63987,12/31/24,2024,INDL,C,D,STD,VEON,VEON LTD,USD,1468091,A,501020,50,50102010,517112,4812,462,974,2.4396038
50721,12/31/24,2024,INDL,C,D,STD,CURB,CURBLINE PROPERTIES CORP,USD,2027317,A,601070,60,60107010,531120,6798,,,2.43907524
34526,12/31/24,2024,INDL,C,D,STD,ARDT,ARDENT HEALTH PARTNERS INC,USD,1756655,A,351020,35,35102020,622110,8062,,,2.43787964
179690,12/31/24,2024,INDL,C,D,STD,SWI,SOLARWINDS CORP,USD,1739942,A,451030,45,45103020,518210,7370,,,2.430651
25870,12/31/24,2024,INDL,C,D,STD,MTX,MINERALS TECHNOLOGIES INC,USD,891014,A,151010,15,15101050,325130,2860,167,970,2.43026069
25737,12/31/24,2024,INDL,C,D,STD,CAKE,CHEESECAKE FACTORY INC,USD,887596,A,253010,25,25301040,722511,5812,420,978,2.4213376
4439,12/31/24,2024,INDL,C,D,STD,ERIC,TELEFONAKTIEBOLAGET LM ERICS,USD,717826,A,452010,45,45201020,334220,3663,180,940,2.41450196
5690,12/31/24,2024,INDL,C,D,STD,HNI,HNI CORP,USD,48287,A,202010,20,20201060,337214,2522,370,925,2.40788748
27871,12/31/24,2024,INDL,C,D,STD,FBK,FB FINANCIAL CORP,USD,1649749,A,401010,40,40101015,522110,6020,,,2.40355962
64979,12/31/24,2024,INDL,C,D,STD,PPBI,PACIFIC PREMIER BANCORP INC,USD,1028918,A,401010,40,40101015,522110,6020,840,800,2.40330972
180646,12/31/24,2024,INDL,C,D,STD,MYRG,MYR GROUP INC,USD,700923,A,201030,20,20103010,2371,1623,,,2.39846994
36911,12/31/24,2024,INDL,C,D,STD,DYN,DYNE THERAPEUTICS INC,USD,1818794,A,352010,35,35201010,325414,2836,,,2.39730068
65084,12/31/24,2024,INDL,C,D,STD,CXW,CORECIVIC INC,USD,1070985,A,202010,20,20201080,531120,6512,305,976,2.39729154
29052,12/31/24,2024,INDL,C,D,STD,LXP,LXP INDUSTRIAL TRUST,USD,910108,A,601025,60,60102510,531120,6798,850,800,2.39141308
61163,12/31/24,2024,INDL,C,D,STD,SHO,SUNSTONE HOTEL INVESTORS INC,USD,1295810,A,601030,60,60103010,531120,6798,850,800,2.37866784
37449,12/31/24,2024,INDL,C,D,STD,QS,QUANTUMSCAPE CORP,USD,1811414,A,251010,25,25101010,335910,3690,,,2.37601314
37513,12/31/24,2024,INDL,C,D,STD,NAMS,NEWAMSTERDAM PHARMA COMPANY,USD,1936258,A,352010,35,35201010,325414,2836,,,2.3743202
162160,12/31/24,2024,INDL,C,D,STD,MPW,MEDICAL PROPERTIES TRUST,USD,1287865,A,601050,60,60105010,531120,6798,,,2.37158
11670,9/30/24,2024,INDL,C,D,STD,SPB,SPECTRUM BRND HLDG INC,USD,109177,A,303010,30,30301010,335210,3634,250,978,2.37011348
